"","id","timestamp","box","time","t_end","other_present","eigenvector","exploration","n_days_net","log_num_trapped_per_day","any_beh_prop","age","sex","colony","prop_days_trapped","bold"
"1","BA1207C",NA,NA,30.9166666666667,30.9166666666667,0,0.00472325817391222,1,1,-1.38629436111989,0,"A","M","Crow",0.25,0.295302690344291
"2","BF6492C",2024-06-07 08:37:04,"Box1",8.28444444444444,30.9166666666667,1,0,0,0,0.22314355131421,0.0666666666666667,"A","F","Crow",0.75,1.36600471407748
"3","D47CA66",2024-06-07 08:08:29,"Box1",7.80805555555556,30.9166666666667,0,0,0,0,0.405465108108164,0,"A","F","Crow",0.5,1.60841029336762
"4","D47CA8A",2024-05-29 08:46:01,"Box3",5.60027777777778,30.9166666666667,0,0.00322032596993236,2,2,-0.182321556793955,0.1,"A","F","Crow",0.583333333333333,1.01446107115665
"5","D47CA95",2024-05-08 09:22:07,"Box1",0.0352777777777778,30.9166666666667,0,0.0528760920382759,2,5,-0.0870113769896298,0,"A","F","Crow",0.833333333333333,1.24749431775917
"6","D47CAE8",2024-06-07 08:53:12,"Box1",8.55333333333333,30.9166666666667,1,0,0,0,-0.405465108108164,0,"A","F","Crow",0.416666666666667,1.01411253704334
"7","D47CAFA",2024-06-07 09:36:02,"Box2",9.26722222222222,30.9166666666667,0,0.0446746854428535,5,1,-1.38629436111989,0,"A","M","Crow",0.25,0.295302690344291
"8","D47CAFC",2024-07-23 12:55:00,"Box1",16.8833333333333,30.9166666666667,0,0.131614982216396,3,5,NA,NA,"A","F","Crow",0,-2.14166849300908
"9","D47CAFF",NA,NA,30.9166666666667,30.9166666666667,0,0.0387433610747509,1,1,NA,NA,"A","M","Crow",0,-2.14166849300908
"10","D47CB0F",2024-05-29 08:40:38,"Box1",5.51055555555556,30.9166666666667,0,0,1,1,-0.0870113769896298,0,"A","M","Crow",0.583333333333333,1.24749431775917
"11","D47CB13",2024-05-29 08:56:53,"Box3",5.78138888888889,30.9166666666667,1,0.0560438507013169,1.5,4,-0.8754687373539,0.2,"A","F","Crow",0.416666666666667,0.343297414449997
"12","D47CB1C",2024-06-07 08:11:38,"Box2",7.86055555555556,30.9166666666667,0,0.0623815075328847,2,1,-0.405465108108164,0.125,"A","M","Crow",0.583333333333333,0.810132169198261
"13","D47CB1D",2024-08-04 12:55:27,"Box3",27.2408333333333,30.9166666666667,1,0,0,0,-0.8754687373539,1,"A","M","Crow",0.416666666666667,-0.962176939758515
"14","D47CB29",2024-06-07 08:29:55,"Box1",8.16527777777778,30.9166666666667,0,0.36715358135843,5,5,-0.287682072451781,0.444444444444444,"A","F","Crow",0.666666666666667,0.375167400821185
"15","D47CB2D",2024-07-30 11:08:29,"Box2",19.9247222222222,30.9166666666667,0,0.383980466908675,3,5,-0.693147180559945,0.166666666666667,"A","M","Crow",0.416666666666667,0.531308228981446
