"","id","timestamp","time","t_end","training.solves","solve.rate","total.solves","total.arrivals","n_observation_opportunities","eigenvector","exploration","n_days_net","log_num_trapped_per_day","any_beh_prop","age","sex","colony","prop_days_trapped","bold"
"1","D47CA8A",NA,21.1666666666667,21.1666666666667,43,0,0,7,0,0.00322032596993236,2,2,-0.182321556793955,0.1,"A","F","Crow",0.583333333333333,1.01446107115665
"2","D47CA95",2024-07-10 15:17:17,4.03805555555556,21.1666666666667,320,1.31707317073171,54,41,2,0.0528760920382759,2,5,-0.0870113769896298,0,"A","F","Crow",0.833333333333333,1.24749431775917
"3","D47CAFA",NA,21.1666666666667,21.1666666666667,3,0,0,0,0,0.0446746854428535,5,1,-1.38629436111989,0,"A","M","Crow",0.25,0.295302690344291
"4","D47CAFC",NA,21.1666666666667,21.1666666666667,0,0.153846153846154,2,13,4,0.131614982216396,3,5,NA,NA,"A","F","Crow",0,-2.14166849300908
"5","D47CB13",NA,21.1666666666667,21.1666666666667,8,0.0303030303030303,1,33,2,0.0560438507013169,1.5,4,-0.8754687373539,0.2,"A","F","Crow",0.416666666666667,0.343297414449997
"6","D47CB1C",2024-08-05 14:30:46,19.5961111111111,21.1666666666667,33,0.813953488372093,35,43,2,0.0623815075328847,2,1,-0.405465108108164,0.125,"A","M","Crow",0.583333333333333,0.810132169198261
"7","D47CB1D",NA,21.1666666666667,21.1666666666667,0,0,0,8,3,0,0,0,-0.8754687373539,1,"A","M","Crow",0.416666666666667,-0.962176939758515
"8","D47CB29",2024-07-23 13:40:10,7.63611111111111,21.1666666666667,10,0.422907488986784,96,227,3,0.36715358135843,5,5,-0.287682072451781,0.444444444444444,"A","F","Crow",0.666666666666667,0.375167400821185
"9","D47CB2D",2024-08-04 13:01:50,17.5972222222222,21.1666666666667,0,0.05,4,83,10,0.383980466908675,3,5,-0.693147180559945,0.166666666666667,"A","M","Crow",0.416666666666667,0.531308228981446
"10","D47CB55",NA,21.1666666666667,21.1666666666667,32,0.181818181818182,2,11,2,0.119108582723522,7,2,-0.538996500732687,0.285714285714286,"A","F","Crow",0.416666666666667,0.450011972386016
