"","id","timestamp","time","t_end","training.solves","solve.rate.visit","solve.rate.day","total.solve.days","total.solves","total.arrivals","colony","n_observation_opportunities","eigenvector","mobility","n_days_net","log_num_trapped_per_day","any_beh_prop","age","sex","prop_days_trapped","bold"
"1","D47CA8A",NA,21.1666666666667,21.1666666666667,43,0,0,1,0,7,"Crow",0,0.00322032596993236,2,2,-0.182321556793955,0.1,"A","F",0.583333333333333,1.01446107115665
"2","D47CA95",2024-07-10 15:17:17,4.03805555555556,21.1666666666667,320,1.31707317073171,18,3,54,41,"Crow",2,0.0528760920382759,2,5,-0.0870113769896298,0,"A","F",0.833333333333333,1.24749431775917
"3","D47CAFA",NA,21.1666666666667,21.1666666666667,3,NA,0,0,0,0,"Crow",0,0.0446746854428535,5,1,-1.38629436111989,0,"A","M",0.25,0.295302690344291
"4","D47CAFC",NA,21.1666666666667,21.1666666666667,0,0.153846153846154,0.666666666666667,3,2,13,"Crow",4,0.131614982216396,3,5,NA,NA,"A","F",0,-2.14166849300908
"5","D47CB13",NA,21.1666666666667,21.1666666666667,8,0.0303030303030303,0.25,4,1,33,"Crow",2,0.0560438507013169,1.5,4,-0.8754687373539,0.2,"A","F",0.416666666666667,0.343297414449997
"6","D47CB1C",2024-08-05 14:30:46,19.5961111111111,21.1666666666667,33,0.813953488372093,35,1,35,43,"Crow",2,0.0623815075328847,2,1,-0.405465108108164,0.125,"A","M",0.583333333333333,0.810132169198261
"7","D47CB1D",NA,21.1666666666667,21.1666666666667,0,0,0,1,0,8,"Crow",3,0,0,0,-0.8754687373539,1,"A","M",0.416666666666667,-0.962176939758515
"8","D47CB29",2024-07-23 13:40:10,7.63611111111111,21.1666666666667,10,0.422907488986784,19.2,5,96,227,"Crow",3,0.36715358135843,5,5,-0.287682072451781,0.444444444444444,"A","F",0.666666666666667,0.375167400821185
"9","D47CB2D",2024-08-04 13:01:50,17.5972222222222,21.1666666666667,0,0.05,3,1,4,83,"Crow",10,0.383980466908675,3,5,-0.693147180559945,0.166666666666667,"A","M",0.416666666666667,0.531308228981446
"10","D47CB55",NA,21.1666666666667,21.1666666666667,32,0.181818181818182,2,1,2,11,"Crow",2,0.119108582723522,7,2,-0.538996500732687,0.285714285714286,"A","F",0.416666666666667,0.450011972386016
"11","D47CB6A",2024-07-16 12:47:51,5.2475,21.1666666666667,0,0.454545454545455,1.66666666666667,3,4,11,"Crow",2,0.0734026017891516,2,3,-2.484906649788,0,"A","F",0.0833333333333333,-0.509825550248441
"12","D47CB8A",NA,21.1666666666667,21.1666666666667,18,0,0,4,0,20,"Crow",2,0.373357982337487,3,4,-0.693147180559945,0,"A","F",0.5,0.803282052774885
"13","D47CB8E",2024-07-10 13:49:40,1.96111111111111,21.1666666666667,388,1.44827586206897,8.4,5,39,24,"Crow",5,0.313164997036339,3.5,2,0.45953232937844,0.210526315789474,"A","F",0.833333333333333,1.30448807699556
"14","D47CB96",NA,21.1666666666667,21.1666666666667,0,0,0,1,0,2,"Crow",1,0.294300121357488,2,2,-2.484906649788,0,"A","F",0.0833333333333333,-0.509825550248441
"15","D47CBAA",2024-07-10 15:02:39,2.79416666666667,21.1666666666667,5,0.56989247311828,19.875,8,158,279,"Crow",3,0.682124753655031,4,4,0,0.25,"A","F",0.666666666666667,0.903300679515319
"16","D47CBB3",2024-07-16 11:08:06,4.20166666666667,21.1666666666667,66,0.588235294117647,10,1,10,17,"Crow",2,0.47669505446057,3,3,-0.287682072451781,0,"A","M",0.666666666666667,1.10043093093702
"17","D47CBD6",NA,21.1666666666667,21.1666666666667,0,0.142857142857143,1,1,1,7,"Crow",1,0.139480737613203,2,4,-2.484906649788,0,"A","F",0.0833333333333333,-0.509825550248441
"18","D47CBDD",2024-07-16 13:15:26,5.70722222222222,21.1666666666667,113,0.274193548387097,3.4,5,12,83,"Crow",8,0.540176000768875,4,5,-0.8754687373539,0.2,"A","F",0.416666666666667,0.343297414449997
"19","DF62BAB",NA,21.1666666666667,21.1666666666667,0,1,1,1,1,1,"Crow",1,0.44851283710941,3.5,2,-2.484906649788,1,"P","M",0.0833333333333333,-2.14166849300908
"20","DF62BAC",2024-08-04 12:05:17,16.9380555555556,21.1666666666667,2,0.244444444444444,5.5,2,12,52,"Crow",2,0.363046085317842,2.5,4,0.348306694268216,0.117647058823529,"P","F",0.75,1.37453969513093
"21","DF62BAF",NA,21.1666666666667,21.1666666666667,0,0.111111111111111,0.333333333333333,3,1,9,"Crow",2,0.862404237841032,5,5,-1.09861228866811,0.5,"P","M",0.333333333333333,-0.309788296767573
"22","DF62BB2",NA,21.1666666666667,21.1666666666667,0,0,0,3,0,17,"Crow",0,0.353167171125453,3,5,-0.182321556793955,0.2,"P","F",0.583333333333333,0.851276776880591
